,mean_arr,var_arr,skew_arr,kurtosis_arr,parms_octave,parms_frequency,parms_persistence
0,0.33356798,0.001993155,-0.087651464,3.080593218,1,128,0.8
1,0.2132105,0.053027406,-0.00616391,2.025206575,2,128,0.8
2,-0.25432986,0.019820653,0.397002763,1.872172868,3,128,0.8
3,-0.19201142,0.08651907,0.896471914,3.668861161,4,128,0.8
4,0.5430347,0.05460818,-0.283019626,3.104464126,5,128,0.8
5,0.31521037,0.21987298,-0.205842393,2.087471653,6,128,0.8
6,-0.2569268,0.043453254,0.288649043,2.817406932,7,128,0.8
7,0.125191,0.1682231,0.446737053,2.434225056,8,128,0.8
8,0.34073773,0.07011458,-0.664217459,3.221352096,9,128,0.8
9,-0.033001233,0.05004391,0.251417144,2.856813949,10,128,0.8
10,0.6043578,0.07119073,0.030729574,2.715596249,11,128,0.8
11,0.41141692,0.13907713,0.306254082,2.251660191,12,128,0.8
12,-0.5657611,0.107382655,0.157719195,2.43215739,13,128,0.8
13,-0.2641156,0.051848255,0.080260636,2.5820663,14,128,0.8
14,0.64760005,0.07679796,-0.082704474,2.65679554,15,128,0.8
15,0.36344218,0.05155465,-0.017389493,2.606203516,16,128,0.8
16,-0.28451025,0.12854081,0.568148119,3.013176047,17,128,0.8
17,0.38986522,0.11931349,0.105929989,2.831326774,18,128,0.8
18,0.4678645,0.085343935,0.063098214,2.945809589,19,128,0.8
19,-0.17205375,0.15717918,0.189672282,2.834448849,20,128,0.8
20,-0.209863,0.08490739,-0.469183593,2.768855529,21,128,0.8
21,0.24888402,0.118172884,-0.319821375,2.462870926,22,128,0.8
22,-0.4425968,0.16058546,0.143537426,2.20364252,23,128,0.8
23,0.37559044,0.14453885,0.000999943,2.149639541,24,128,0.8
24,0.088308185,0.20892984,0.083942191,1.939893152,25,128,0.8
25,0.5435437,0.06595946,0.086530636,2.579540286,26,128,0.8
26,-0.5102773,0.06891324,-0.019577091,2.534460605,27,128,0.8
27,0.4476242,0.09260693,-0.359534416,2.91014989,28,128,0.8
28,-0.3091519,0.099968016,-0.202442562,2.964260309,29,128,0.8
29,-0.29961762,0.117001995,-0.510126215,3.527064771,30,128,0.8
30,-0.3157106,0.09532266,-0.250319432,2.638197347,31,128,0.8
31,0.5027338,0.060841195,0.11254631,2.878493811,32,128,0.8
32,0.3547421,0.10972451,0.105345919,2.540194755,33,128,0.8
33,-0.1568361,0.16828655,-0.147877912,2.766597261,34,128,0.8
34,-0.04028012,0.16567495,0.437697513,2.666004328,35,128,0.8
35,0.37075084,0.08503224,-0.091539732,2.675061947,36,128,0.8
36,0.84649247,0.07513314,-0.140579236,2.642649516,37,128,0.8
37,0.22569798,0.06770502,0.156610764,3.149448149,38,128,0.8
38,-0.5537504,0.09799415,0.294358951,2.639310575,39,128,0.8
39,0.18137865,0.08725531,0.089140232,2.210640065,40,128,0.8
40,0.22884864,0.05500476,-0.216540137,3.161668705,41,128,0.8
41,-0.29228944,0.05545741,0.102459066,2.735617578,42,128,0.8
42,0.027406856,0.19314829,0.225990095,2.150413578,43,128,0.8
43,0.71706057,0.13228448,-0.388344554,2.725143027,44,128,0.8
44,-0.23287939,0.21619534,0.011154235,2.006513559,45,128,0.8
45,-0.2989734,0.071192175,-0.001303187,2.519328574,46,128,0.8
46,-0.030979428,0.05671989,-0.019110018,3.00465379,47,128,0.8
47,0.12223175,0.12162916,-0.088487252,2.415898287,48,128,0.8
48,0.57180256,0.21737885,0.45865234,2.627738906,49,128,0.8
49,-0.07080554,0.049563754,0.166306121,2.562980227,50,128,0.8
50,0.4361797,0.041168608,-0.162776235,2.780260555,51,128,0.8
51,0.22747143,0.085131854,-0.039516596,2.300018982,52,128,0.8
52,0.42859954,0.16704357,0.000246198,2.125607196,53,128,0.8
53,0.22285372,0.05862324,0.023403487,2.500270209,54,128,0.8
54,0.27612445,0.12758619,-0.233042075,2.343957379,55,128,0.8
55,-0.067433976,0.16029903,0.134920358,2.163675136,56,128,0.8
56,-0.3635519,0.061985087,-0.060780358,2.822763198,57,128,0.8
57,0.42667896,0.08363555,-0.425526819,2.874721663,58,128,0.8
58,0.19240485,0.10194415,-0.102272196,2.520936638,59,128,0.8
59,-0.22663592,0.09040773,0.07347997,2.590641448,60,128,0.8
60,-0.023775516,0.06438333,-0.085126365,3.010662715,61,128,0.8
61,-0.09843063,0.08635785,-0.256277907,2.947846503,62,128,0.8
62,0.037805192,0.05596489,-0.255362259,2.769075308,63,128,0.8
63,0.12590463,0.12183626,-0.258838769,2.790108268,64,128,0.8
64,0.046670057,0.070751205,-0.10011608,2.387763456,65,128,0.8
65,-0.37666565,0.08220224,0.21567639,3.122079874,66,128,0.8
66,-0.14991222,0.10521447,-0.253661493,2.613137932,67,128,0.8
67,-0.14361839,0.12802872,-0.210974316,2.617414457,68,128,0.8
68,-0.1682722,0.1320218,-0.321114771,2.540740249,69,128,0.8
69,0.030012522,0.061518315,-0.138201475,3.287611761,70,128,0.8
70,-0.64048856,0.060635205,0.17479242,2.680361124,71,128,0.8
71,-0.6491894,0.1310419,0.327026032,3.27422605,72,128,0.8
72,0.2826031,0.16488266,0.225188938,2.404416838,73,128,0.8
73,0.389351,0.08527892,-0.472162588,2.984913906,74,128,0.8
74,0.6492957,0.07206061,-0.421812624,2.916129315,75,128,0.8
75,-0.1909523,0.104782015,-0.075313395,2.572603255,76,128,0.8
76,-0.25361726,0.19053942,0.234093331,1.84901162,77,128,0.8
77,0.002133947,0.12458238,0.24803438,2.447135653,78,128,0.8
78,0.30176264,0.09745111,0.199513112,2.672801169,79,128,0.8
79,-0.2961954,0.08098471,0.062233055,2.83320276,80,128,0.8
80,-0.26425874,0.13941385,-0.024878925,2.206196041,81,128,0.8
81,-0.18460973,0.11684306,-0.076018625,2.488868625,82,128,0.8
