Diffusion step	simplex	4dsimplex	gauss	Tsimplex
50	0.8297	0.733	0.7535	0.8984
65	0.7743	0.704	0.7121	0.8667
80	0.7275	0.6607	0.6741	0.8208
95	0.6843	0.6415	0.6486	0.7565
111	0.6396	0.6003	0.6272	0.7411
126	0.5842	0.5834	0.6123	0.7174
141	0.5515	0.5348	0.5967	0.6338
157	0.5408	0.5361	0.5883	0.604
172	0.5057	0.4994	0.5745	0.5767
187	0.4834	0.4849	0.5692	0.5272
203	0.4657	0.4485	0.5607	0.5304
218	0.4403	0.4253	0.5524	0.5084
233	0.4169	0.4372	0.5509	0.472
248	0.4005	0.3866	0.5423	0.4746
264	0.3786	0.3756	0.5413	0.4328
279	0.354	0.3531	0.5359	0.42
294	0.3367	0.3362	0.5355	0.3931
310	0.3275	0.331	0.5292	0.385
325	0.3054	0.3001	0.5263	0.3764
340	0.292	0.2887	0.525	0.3653
356	0.2718	0.274	0.5217	0.3517
371	0.264	0.2589	0.5204	0.297
386	0.2576	0.2326	0.5178	0.316
402	0.2295	0.2174	0.5159	0.2963
417	0.2225	0.1969	0.5138	0.2766
432	0.2148	0.1859	0.5133	0.2734
447	0.1929	0.1724	0.5113	0.2586
463	0.1724	0.1721	0.5098	0.2236
478	0.1712	0.1596	0.5099	0.246
493	0.1508	0.1415	0.5087	0.229
509	0.147	0.137	0.507	0.2103
524	0.1527	0.1102	0.5132	0.2024
539	0.1327	0.1138	0.5052	0.1707
555	0.1048	0.0812	0.492	0.1664
570	0.1155	0.0764	0.4798	0.1674
585	0.1204	0.0608	0.4692	0.1679
601	0.1009	0.042	0.4538	0.1411
616	0.0945	0.0414	0.4487	0.0727
631	0.083	0.0388	0.4178	0.1473
646	0.0584	0.0367	0.4014	0.1162
662	0.0614	0.0273	0.3967	0.0844
692	0.07	0.0215	0.3867	0.0996
708	0.0294	0.0216	0.3763	0.0631
723	0.031	0.0177	0.3667	0.0665
738	0.0161	0.0165	0.3502	0.053
754	0.0273	0.0143	0.341	0.0447
769	0.0242	0.0128	0.33	0.0203
784	0.0128	0.0104	0.3203	0.0266
792	0.0042	0.0089	0.3097	0.0157
800	0.0338	0.0128	0.3011	0.0253
