timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0000,0.0003,0.4459,0.0241,0.0000,0.0000,0.0000
0001,0.0002,0.3688,0.0364,0.0000,0.0000,0.0000
0002,0.0002,0.3342,0.0206,0.0000,0.0000,0.0000
0003,0.0333,0.2841,0.0542,0.0000,0.0000,0.0000
0004,0.0324,0.2512,0.0374,0.0000,0.0000,0.0000
0005,0.0992,0.2306,0.0410,0.0000,0.0000,0.0000
0006,0.0491,0.2102,0.0211,0.0000,0.0000,0.0000
0007,0.1900,0.2031,0.0444,0.0000,0.0000,0.0000
0008,0.1234,0.1793,0.0339,0.0000,0.0000,0.0000
0009,0.0915,0.1718,0.0341,0.0000,0.0000,0.0000
0010,0.1788,0.1510,0.0377,0.0000,0.0000,0.0000
0011,0.1480,0.1443,0.0342,0.0000,0.0000,0.0000
0012,0.1516,0.1369,0.0341,0.0000,0.0000,0.0000
0013,0.1453,0.1221,0.0343,0.0000,0.0000,0.0000
0014,0.1466,0.1157,0.0325,0.0000,0.0000,0.0000
0015,0.1501,0.1113,0.0355,0.0000,0.0000,0.0000
0016,0.1370,0.1045,0.0299,0.0000,0.0000,0.0000
0017,0.1464,0.0968,0.0307,0.0000,0.0000,0.0000
0018,0.1457,0.0926,0.0315,0.0000,0.0000,0.0000
0019,0.1416,0.0955,0.0308,0.0000,0.0000,0.0000
0020,0.1468,0.0898,0.0320,0.0000,0.0000,0.0000
0021,0.1472,0.0868,0.0309,0.0000,0.0000,0.0000
0022,0.1430,0.0831,0.0298,0.0000,0.0000,0.0000
0023,0.1403,0.0801,0.0316,0.0000,0.0000,0.0000
0024,0.1403,0.0799,0.0291,0.0000,0.0000,0.0000
0025,0.1334,0.0748,0.0296,0.0000,0.0000,0.0000
0026,0.1409,0.0776,0.0321,0.0000,0.0000,0.0000
0027,0.1356,0.0730,0.0283,0.0000,0.0000,0.0000
0028,0.1418,0.0711,0.0294,0.0000,0.0000,0.0000
0029,0.1412,0.0789,0.0303,0.0000,0.0000,0.0000
0030,0.1396,0.0672,0.0297,0.0000,0.0000,0.0000
0031,0.1397,0.0728,0.0296,0.0000,0.0000,0.0000
0032,0.1327,0.0675,0.0282,0.0000,0.0000,0.0000
0033,0.1407,0.0668,0.0301,0.0000,0.0000,0.0000
0034,0.1339,0.0643,0.0261,0.0000,0.0000,0.0000
0035,0.1431,0.0832,0.0322,0.0000,0.0000,0.0000
0036,0.1292,0.0615,0.0277,0.0000,0.0000,0.0000
0037,0.1439,0.0610,0.0320,0.0000,0.0000,0.0000
0038,0.1290,0.0591,0.0280,0.0000,0.0000,0.0000
0039,0.1415,0.0781,0.0289,0.0000,0.0000,0.0000
0040,0.1350,0.0563,0.0308,0.0000,0.0000,0.0000
0041,0.1346,0.0646,0.0296,0.0000,0.0000,0.0000
0042,0.1229,0.0497,0.0253,0.0000,0.0000,0.0000
0043,0.1207,0.0441,0.0265,0.0000,0.0000,0.0000
0044,0.1437,0.0646,0.0325,0.0000,0.0000,0.0000
0045,0.1403,0.0576,0.0295,0.0000,0.0000,0.0000
0046,0.1350,0.0626,0.0292,0.0000,0.0000,0.0000
0047,0.1310,0.0663,0.0280,0.0000,0.0000,0.0000
0048,0.1325,0.0630,0.0304,0.0000,0.0000,0.0000
0049,0.1314,0.0464,0.0294,0.0000,0.0000,0.0000
