timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0000,0.0000,0.1640,0.1725,0.5946,0.1955,0.1136
0001,0.0063,-0.0780,0.1443,0.5749,0.1615,0.1394
0002,0.1075,-0.1869,0.1894,0.7683,0.2008,0.0833
0003,0.4676,-0.2517,0.2351,0.9219,0.2399,0.0283
0004,0.6156,-0.2590,0.2769,0.9047,0.2852,0.0277
0005,0.6679,-0.2501,0.2803,0.8311,0.2972,0.0443
0006,0.6705,-0.2353,0.2405,0.6961,0.2687,0.0756
0007,0.6636,-0.2071,0.2363,0.6769,0.2663,0.0794
0008,0.6678,-0.1966,0.2137,0.6019,0.2489,0.0950
0009,0.6590,-0.1791,0.2208,0.6110,0.2569,0.0920
0010,0.6455,-0.1613,0.2198,0.6229,0.2536,0.0908
0011,0.6383,-0.1457,0.2225,0.6225,0.2572,0.0901
0012,0.6324,-0.1385,0.2258,0.6308,0.2602,0.0882
0013,0.6198,-0.1240,0.2292,0.6429,0.2626,0.0858
0014,0.6072,-0.1125,0.2268,0.6341,0.2609,0.0876
0015,0.6044,-0.1076,0.2285,0.6380,0.2625,0.0867
0016,0.5967,-0.0978,0.2224,0.6270,0.2563,0.0896
0017,0.5909,-0.0927,0.2281,0.6414,0.2614,0.0863
0018,0.5842,-0.0840,0.2248,0.6347,0.2582,0.0880
0019,0.5801,-0.0840,0.2291,0.6469,0.2619,0.0853
0020,0.5773,-0.0777,0.2283,0.6444,0.2613,0.0858
0021,0.5756,-0.0723,0.2311,0.6398,0.2657,0.0857
0022,0.5721,-0.0752,0.2250,0.6405,0.2575,0.0872
0023,0.5697,-0.0674,0.2277,0.6309,0.2626,0.0877
0024,0.5703,-0.0680,0.2281,0.6320,0.2630,0.0875
0025,0.5644,-0.0626,0.2270,0.6303,0.2619,0.0880
0026,0.5609,-0.0624,0.2289,0.6345,0.2637,0.0870
0027,0.5651,-0.0621,0.2257,0.6335,0.2595,0.0879
0028,0.5624,-0.0599,0.2319,0.6419,0.2663,0.0853
0029,0.5589,-0.0590,0.2245,0.6244,0.2596,0.0894
0030,0.5615,-0.0575,0.2325,0.6397,0.2675,0.0854
0031,0.5597,-0.0539,0.2347,0.6429,0.2698,0.0845
0032,0.5556,-0.0525,0.2275,0.6281,0.2629,0.0881
0033,0.5577,-0.0517,0.2271,0.6298,0.2620,0.0880
0034,0.5519,-0.0512,0.2319,0.6385,0.2670,0.0857
0035,0.5601,-0.0536,0.2304,0.6288,0.2667,0.0873
0036,0.5610,-0.0506,0.2311,0.6345,0.2666,0.0864
0037,0.5530,-0.0495,0.2287,0.6331,0.2637,0.0872
0038,0.5521,-0.0500,0.2312,0.6350,0.2666,0.0864
0039,0.5574,-0.0495,0.2321,0.6397,0.2671,0.0855
0040,0.5600,-0.0503,0.2303,0.6345,0.2656,0.0866
0041,0.5545,-0.0501,0.2323,0.6408,0.2670,0.0853
0042,0.5533,-0.0455,0.2338,0.6424,0.2688,0.0848
0043,0.5493,-0.0452,0.2326,0.6364,0.2682,0.0858
0044,0.5517,-0.0468,0.2324,0.6415,0.2670,0.0852
0045,0.5548,-0.0482,0.2321,0.6407,0.2669,0.0854
0046,0.5549,-0.0470,0.2343,0.6425,0.2694,0.0846
0047,0.5574,-0.0480,0.2339,0.6380,0.2697,0.0853
0048,0.5532,-0.0469,0.2296,0.6304,0.2654,0.0873
0049,0.5549,-0.0456,0.2328,0.6381,0.2682,0.0856
