timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0,0,0.8984,0.0634,0.0983,0.1515,0.1513
1,0,0.8667,0.1341,0.2148,0.2631,0.1356
2,0,0.8208,0.0835,0.132,0.1853,0.1472
3,0,0.7565,0.127,0.1983,0.261,0.1371
4,0,0.7411,0.1688,0.2326,0.3806,0.128
5,0,0.7174,0.2112,0.2829,0.4545,0.1198
6,0,0.6338,0.143,0.2256,0.2807,0.1334
7,0,0.604,0.5439,0.6417,0.7811,0.0619
8,0,0.5767,0.1927,0.3201,0.3263,0.1208
9,0,0.5272,0.5913,0.7034,0.7877,0.0519
10,0,0.5304,0.3737,0.555,0.5335,0.0799
11,0.0341,0.5084,0.7325,0.8294,0.8625,0.0302
12,0,0.472,0.4892,0.7632,0.5767,0.0448
13,0,0.4746,0.249,0.356,0.453,0.1106
14,0,0.4328,0.4509,0.7101,0.5526,0.0545
15,0.0269,0.42,0.4273,0.6366,0.5651,0.0663
16,0.2111,0.3931,0.8093,0.8305,0.9694,0.0295
17,0.0052,0.385,0.4461,0.6316,0.6029,0.0662
18,0.0008,0.3764,0.5143,0.7284,0.6363,0.0497
19,0.005,0.3653,0.459,0.646,0.6134,0.0637
20,0.0202,0.3517,0.7661,0.8672,0.868,0.0237
21,0.3999,0.297,0.8198,0.8823,0.9205,0.0208
22,0.2264,0.316,0.7967,0.8476,0.9299,0.0267
23,0.209,0.2963,0.8263,0.882,0.929,0.0208
24,0.3935,0.2766,0.8437,0.8783,0.9554,0.0214
25,0.0347,0.2734,0.6809,0.8537,0.7708,0.0266
26,0.0006,0.2586,0.1777,0.3347,0.2749,0.1234
27,0.8505,0.2236,0.8492,0.8968,0.9411,0.0182
28,0.1604,0.246,0.7721,0.8598,0.8833,0.0249
29,0.3271,0.229,0.822,0.8569,0.9528,0.0251
30,0.3783,0.2103,0.7707,0.822,0.9251,0.0311
31,0.2926,0.2024,0.7574,0.8279,0.899,0.0303
32,0.7564,0.1707,0.8203,0.8667,0.9387,0.0234
33,0.8213,0.1664,0.7899,0.8627,0.9036,0.0243
34,0.2343,0.1674,0.6689,0.7889,0.8147,0.0374
35,0.4133,0.1679,0.6689,0.7846,0.8193,0.0381
36,0.5032,0.1411,0.7014,0.7903,0.8618,0.0369
37,1.1342,0.0727,0.6686,0.8863,0.7314,0.0211
38,0.1959,0.1473,0.5409,0.7256,0.68,0.0495
39,0.0027,0.1162,0.0021,0.0045,0.004,0.1822
40,0.9761,0.0844,0.6145,0.8696,0.6769,0.0245
41,0.0974,0.0996,0.2487,0.4467,0.3594,0.1031
42,0.985,0.0631,0.5802,0.8312,0.6577,0.0316
43,0.5942,0.0665,0.5048,0.6939,0.6494,0.0553
44,0.795,0.053,0.535,0.7574,0.6457,0.0446
45,0.8552,0.0447,0.4787,0.7985,0.5444,0.0392
46,0.8207,0.0203,0.4057,0.8093,0.4486,0.0397
47,0.7939,0.0266,0.3972,0.7829,0.4463,0.0447
48,0.7605,0.0157,0.3673,0.7642,0.4143,0.0495
49,0.7005,0.0253,0.3532,0.7054,0.4144,0.0601
