timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0000,0.0000,0.8828,0.0820,0.1562,0.1471,0.1521
0001,0.0000,0.8450,0.2914,0.4027,0.5130,0.1026
0002,0.0000,0.8455,0.3926,0.4106,0.8995,0.0958
0003,0.0000,0.7860,0.2714,0.3821,0.4838,0.1062
0004,0.0000,0.7608,0.3305,0.5258,0.4708,0.0864
0005,0.0000,0.7298,0.3588,0.5308,0.5254,0.0838
0006,0.0000,0.7350,0.4733,0.6293,0.6562,0.0656
0007,0.0000,0.7221,0.2898,0.3657,0.5827,0.1060
0008,0.0000,0.6707,0.4030,0.6256,0.5312,0.0689
0009,0.0000,0.6505,0.2459,0.4121,0.3788,0.1065
0010,0.0000,0.6579,0.5094,0.6137,0.7499,0.0667
0011,0.0000,0.6276,0.1210,0.1750,0.2818,0.1378
0012,0.0000,0.6292,0.6112,0.7125,0.8113,0.0502
0013,0.0000,0.6002,0.1808,0.2602,0.3721,0.1252
0014,0.0000,0.5991,0.5547,0.7451,0.6847,0.0462
0015,0.0000,0.5870,0.5328,0.7339,0.6603,0.0484
0016,0.0008,0.5576,0.8484,0.8942,0.9430,0.0187
0017,0.0000,0.5637,0.7090,0.8669,0.7957,0.0241
0018,0.0000,0.5618,0.5253,0.7255,0.6556,0.0499
0019,0.0000,0.5186,0.1833,0.2856,0.3387,0.1239
0020,0.0000,0.4926,0.0301,0.0432,0.0904,0.1561
0021,0.0024,0.5073,0.5252,0.7243,0.6565,0.0501
0022,0.0000,0.4784,0.3522,0.5285,0.5136,0.0845
0023,0.0544,0.4606,0.7757,0.8303,0.9219,0.0297
0024,0.0000,0.4536,0.5201,0.7520,0.6278,0.0458
0025,0.0056,0.4601,0.2016,0.2860,0.4061,0.1209
0026,0.0044,0.4106,0.6845,0.8462,0.7817,0.0278
0027,0.0000,0.4219,0.2445,0.3709,0.4176,0.1100
0028,0.0202,0.3774,0.7877,0.8673,0.8957,0.0235
0029,0.0000,0.4048,0.2163,0.3272,0.3896,0.1166
0030,0.0513,0.3416,0.6850,0.8991,0.7420,0.0187
0031,0.2766,0.3055,0.8214,0.8877,0.9167,0.0199
0032,0.0682,0.3511,0.6372,0.8019,0.7563,0.0357
0033,0.0188,0.3255,0.6883,0.8485,0.7847,0.0274
0034,0.0516,0.3267,0.7516,0.8219,0.8978,0.0313
0035,0.0000,0.3272,0.0793,0.1311,0.1673,0.1492
0036,0.0016,0.3000,0.3842,0.5817,0.5308,0.0759
0037,0.0134,0.2857,0.6601,0.7930,0.7976,0.0369
0038,0.0915,0.2605,0.6630,0.7462,0.8560,0.0442
0039,0.3727,0.2224,0.7766,0.8668,0.8818,0.0237
0040,0.0180,0.2591,0.5485,0.7193,0.6979,0.0503
0041,0.1622,0.2155,0.6918,0.7661,0.8770,0.0408
0042,0.7335,0.1307,0.7741,0.8881,0.8578,0.0201
0043,0.0033,0.2021,0.0039,0.0079,0.0075,0.1784
0044,0.0002,0.1783,0.1364,0.2270,0.2547,0.1352
0045,0.3929,0.1589,0.6659,0.8080,0.7910,0.0344
0046,0.0004,0.1604,0.0264,0.0465,0.0578,0.1643
0047,0.6410,0.0919,0.6171,0.8411,0.6985,0.0294
0048,0.4176,0.1235,0.5985,0.7810,0.7192,0.0397
0049,0.4282,0.0947,0.5289,0.7717,0.6269,0.0425
