timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0000,0.0000,0.9305,0.0000,0.0000,0.0000,0.1554
0001,0.0000,0.8733,0.0117,0.0156,0.0450,0.1572
0002,0.0000,0.8746,0.1173,0.1173,1.0000,0.1360
0003,0.0000,0.8551,0.2587,0.2587,1.0000,0.1167
0004,0.0000,0.7919,0.3281,0.3281,1.0000,0.1070
0005,0.0000,0.8283,0.4799,0.4803,0.9985,0.0848
0006,0.0000,0.8097,0.2662,0.2662,1.0000,0.1157
0007,0.0000,0.7500,0.4461,0.4461,0.9998,0.0899
0008,0.0000,0.7534,0.2350,0.2350,1.0000,0.1200
0009,0.0000,0.7440,0.5348,0.5350,0.9992,0.0766
0010,0.0000,0.7576,0.5934,0.5934,1.0000,0.0676
0011,0.0000,0.7077,0.7473,0.7481,0.9985,0.0430
0012,0.0000,0.7111,0.6348,0.6348,1.0000,0.0611
0013,0.0000,0.7034,0.7583,0.7619,0.9938,0.0408
0014,0.0000,0.7258,0.7851,0.7872,0.9966,0.0366
0015,0.0000,0.6896,0.5756,0.5761,0.9986,0.0703
0016,0.0000,0.6813,0.6257,0.6258,0.9998,0.0625
0017,0.0000,0.6894,0.8217,0.8234,0.9974,0.0305
0018,0.0000,0.6796,0.7711,0.7723,0.9979,0.0390
0019,0.0000,0.6833,0.6999,0.7012,0.9974,0.0506
0020,0.0000,0.6476,0.4416,0.4416,1.0000,0.0906
0021,0.0000,0.6580,0.8475,0.8490,0.9979,0.0262
0022,0.0004,0.6450,0.8570,0.8599,0.9960,0.0244
0023,0.0000,0.6570,0.8822,0.8846,0.9968,0.0202
0024,0.0000,0.6556,0.8539,0.8555,0.9978,0.0251
0025,0.0068,0.6129,0.8750,0.8789,0.9950,0.0212
0026,0.2404,0.5228,0.8916,0.8960,0.9945,0.0182
0027,0.0000,0.6301,0.8342,0.8363,0.9969,0.0284
0028,0.0000,0.6245,0.6688,0.6697,0.9982,0.0556
0029,0.0000,0.6355,0.8252,0.8267,0.9978,0.0300
0030,0.0000,0.5988,0.7094,0.7104,0.9980,0.0491
0031,0.2860,0.4894,0.8993,0.9052,0.9928,0.0166
0032,0.0034,0.5827,0.8746,0.8776,0.9961,0.0214
0033,0.0000,0.5532,0.0000,0.0000,0.0000,0.1614
0034,0.4434,0.4439,0.8983,0.9050,0.9918,0.0167
0035,0.0000,0.6018,0.8556,0.8579,0.9968,0.0247
0036,0.0000,0.5851,0.8901,0.8930,0.9963,0.0187
0037,0.0166,0.5329,0.8941,0.8973,0.9960,0.0180
0038,0.4561,0.4152,0.9115,0.9177,0.9926,0.0145
0039,0.2858,0.4372,0.9155,0.9207,0.9938,0.0139
0040,0.0094,0.5475,0.8934,0.8964,0.9962,0.0181
0041,0.0000,0.5775,0.8560,0.8582,0.9970,0.0247
0042,0.2560,0.4462,0.9129,0.9179,0.9940,0.0144
0043,0.2576,0.4220,0.9079,0.9140,0.9928,0.0151
0044,0.0006,0.5296,0.9135,0.9161,0.9969,0.0147
0045,0.9292,0.1349,0.9308,0.9383,0.9915,0.0109
0046,0.7589,0.2271,0.8453,0.8540,0.9881,0.0254
0047,0.0060,0.5126,0.8369,0.8415,0.9936,0.0275
0048,0.7222,0.3116,0.9157,0.9225,0.9921,0.0137
0049,0.0048,0.5259,0.8587,0.8619,0.9958,0.0241
