timestep,Dice,SSIM,IOU,Precision,Recall,FPR
0000,0.0000,0.3046,0.0631,0.1125,0.1257,0.1553
0001,0.0004,0.2271,0.0598,0.1055,0.1215,0.1558
0002,0.0016,0.1784,0.0581,0.1051,0.1151,0.1571
0003,0.0081,0.1429,0.0546,0.1033,0.1039,0.1597
0004,0.0208,0.1161,0.0584,0.1170,0.1044,0.1609
0005,0.0372,0.0984,0.0623,0.1284,0.1078,0.1609
0006,0.0507,0.0837,0.0629,0.1283,0.1100,0.1602
0007,0.0687,0.0719,0.0607,0.1267,0.1045,0.1618
0008,0.0841,0.0634,0.0618,0.1264,0.1079,0.1607
0009,0.0986,0.0555,0.0632,0.1306,0.1092,0.1606
0010,0.1060,0.0497,0.0637,0.1311,0.1103,0.1603
0011,0.1111,0.0440,0.0658,0.1360,0.1132,0.1598
0012,0.1248,0.0405,0.0696,0.1388,0.1226,0.1573
0013,0.1274,0.0365,0.0672,0.1353,0.1177,0.1584
0014,0.1395,0.0329,0.0731,0.1466,0.1273,0.1564
0015,0.1399,0.0309,0.0682,0.1387,0.1183,0.1584
0016,0.1394,0.0283,0.0687,0.1421,0.1174,0.1589
0017,0.1439,0.0270,0.0670,0.1398,0.1140,0.1598
0018,0.1553,0.0255,0.0731,0.1553,0.1214,0.1585
0019,0.1527,0.0230,0.0690,0.1460,0.1158,0.1597
0020,0.1633,0.0223,0.0734,0.1573,0.1211,0.1587
0021,0.1587,0.0195,0.0726,0.1580,0.1185,0.1596
0022,0.1609,0.0213,0.0706,0.1535,0.1155,0.1603
0023,0.1625,0.0185,0.0710,0.1580,0.1142,0.1611
0024,0.1633,0.0177,0.0736,0.1645,0.1174,0.1604
0025,0.1637,0.0164,0.0690,0.1551,0.1105,0.1623
0026,0.1699,0.0152,0.0736,0.1665,0.1166,0.1609
0027,0.1770,0.0156,0.0776,0.1782,0.1209,0.1601
0028,0.1758,0.0139,0.0756,0.1741,0.1179,0.1609
0029,0.1742,0.0132,0.0738,0.1704,0.1152,0.1618
0030,0.1646,0.0132,0.0688,0.1597,0.1079,0.1639
0031,0.1720,0.0123,0.0715,0.1668,0.1112,0.1631
0032,0.1786,0.0123,0.0744,0.1743,0.1150,0.1621
0033,0.1775,0.0112,0.0749,0.1789,0.1142,0.1628
0034,0.1789,0.0112,0.0737,0.1744,0.1131,0.1630
0035,0.1858,0.0095,0.0762,0.1821,0.1159,0.1624
0036,0.1895,0.0103,0.0786,0.1878,0.1190,0.1614
0037,0.1913,0.0098,0.0788,0.1901,0.1187,0.1618
0038,0.1961,0.0090,0.0816,0.1977,0.1219,0.1609
0039,0.1939,0.0092,0.0767,0.1858,0.1155,0.1629
0040,0.1973,0.0084,0.0801,0.1947,0.1199,0.1616
0041,0.1936,0.0085,0.0768,0.1863,0.1156,0.1629
0042,0.1958,0.0077,0.0800,0.1964,0.1189,0.1621
0043,0.2134,0.0067,0.0898,0.2244,0.1302,0.1588
0044,0.2056,0.0075,0.0845,0.2091,0.1242,0.1606
0045,0.2005,0.0074,0.0828,0.2046,0.1221,0.1612
0046,0.2020,0.0073,0.0832,0.2076,0.1220,0.1615
0047,0.2102,0.0067,0.0857,0.2148,0.1248,0.1606
0048,0.2080,0.0071,0.0855,0.2124,0.1252,0.1603
0049,0.2138,0.0059,0.0869,0.2178,0.1264,0.1601
