,mean_arr,var_arr,skew_arr,kurtosis_arr,parms_octave,parms_frequency,parms_persistence
0,-0.06307087,0.7692907,0.07298472,2.984884927,8,128,1.1
1,-0.17339519,0.88444996,0.06130651,2.834876435,8,128,1.1
2,-0.27427205,0.80991864,0.067800922,2.942315638,8,128,1.1
3,-0.262659,0.8022734,0.002412265,2.839517372,8,128,1.1
4,0.06585545,0.83689,0.003811138,2.808282553,8,128,1.1
5,0.1494288,0.7328194,-0.056147339,2.983147289,8,128,1.1
6,0.5018703,0.8678896,0.013456291,2.917466429,8,128,1.1
7,-0.18726754,0.7225853,-0.112136545,3.092172438,8,128,1.1
8,-0.40731883,0.8654058,-0.037278691,2.872553043,8,128,1.1
9,-0.27248734,0.9370296,-0.167436048,3.125264384,8,128,1.1
10,0.25583354,0.81753045,0.153005912,3.035627708,8,128,1.1
11,-0.4998958,1.1440998,0.113756684,2.917680303,8,128,1.1
12,0.000295505,0.8083327,-0.012192641,2.811843066,8,128,1.1
13,0.31731033,0.8813456,0.068708833,2.721503296,8,128,1.1
14,-0.5514313,0.85222495,0.073059685,2.944501662,8,128,1.1
15,0.47739398,0.85772055,0.064900811,2.938067899,8,128,1.1
16,0.20874625,0.8141278,-0.034162722,2.694671635,8,128,1.1
17,0.2533334,0.7445226,0.026317635,2.751243545,8,128,1.1
18,0.09398432,0.7015325,-0.132024547,2.947755134,8,128,1.1
19,0.18924363,0.7912339,-0.122580608,2.988377986,8,128,1.1
20,0.16217104,0.83815795,-0.093316746,2.892540296,8,128,1.1
21,0.22853288,0.9834544,-0.12441999,2.629117549,8,128,1.1
22,-0.061362874,0.6770471,-0.054024656,2.986346621,8,128,1.1
23,0.12856098,0.83168006,0.035709656,2.868549871,8,128,1.1
24,-0.0873075,0.87700105,-0.016584894,2.851371882,8,128,1.1
25,-0.18371397,0.79887676,-0.11968141,2.764806808,8,128,1.1
26,-0.25495926,0.90620756,0.043943503,2.976110838,8,128,1.1
27,0.45498964,0.7054546,0.116306738,2.953859878,8,128,1.1
28,-0.14284955,0.7974758,-0.113347411,2.845866816,8,128,1.1
29,-0.31602952,0.8309375,-0.063730338,2.851932735,8,128,1.1
