Diffusion step,simplex,4dsimplex,gauss,Tsimplex
50,0.8297,0.733,0.2535,0.8984
65,0.7743,0.704,0.2299,0.8667
80,0.7275,0.6607,0.2121,0.8208
95,0.6843,0.6415,0.192,0.7565
111,0.6396,0.6003,0.1741,0.7411
126,0.5842,0.5834,0.1613,0.7174
141,0.5515,0.5348,0.1486,0.6338
157,0.5408,0.5361,0.1355,0.604
172,0.5057,0.4994,0.1272,0.5767
187,0.4834,0.4849,0.1203,0.5272
203,0.4657,0.4485,0.1123,0.5304
218,0.4403,0.4253,0.1036,0.5084
233,0.4169,0.4372,0.0967,0.472
248,0.4005,0.3866,0.0914,0.4746
264,0.3786,0.3756,0.0883,0.4328
279,0.354,0.3531,0.0822,0.42
294,0.3367,0.3362,0.0745,0.3931
310,0.3275,0.331,0.0726,0.385
325,0.3054,0.3001,0.0692,0.3764
340,0.292,0.2887,0.0651,0.3653
356,0.2718,0.274,0.0607,0.3517
371,0.264,0.2589,0.056,0.297
386,0.2576,0.2326,0.0524,0.316
402,0.2295,0.2174,0.0504,0.2963
417,0.2225,0.1969,0.0509,0.2766
432,0.2148,0.1859,0.0449,0.2734
447,0.1929,0.1724,0.0423,0.2586
463,0.1724,0.1721,0.0423,0.2236
478,0.1712,0.1596,0.0413,0.246
493,0.1508,0.1415,0.0379,0.229
509,0.147,0.137,0.0359,0.2103
524,0.1527,0.1102,0.0326,0.2024
539,0.1327,0.1138,0.0355,0.1707
555,0.1048,0.0812,0.0295,0.1664
570,0.1155,0.0764,0.0292,0.1674
585,0.1204,0.0608,0.0282,0.1679
601,0.1009,0.042,0.0263,0.1411
616,0.0945,0.0414,0.0251,0.0727
631,0.083,0.0388,0.025,0.1473
646,0.0584,0.0367,0.0244,0.1162
662,0.0614,0.0273,0.0217,0.0844
692,0.07,0.0215,0.0211,0.0996
708,0.0294,0.0216,0.0204,0.0631
723,0.031,0.0177,0.0181,0.0665
738,0.0161,0.0165,0.0178,0.053
754,0.0273,0.0143,0.0173,0.0447
769,0.0242,0.0128,0.0159,0.0203
784,0.0128,0.0104,0.0155,0.0266
792,0.0042,0.0089,0.0138,0.0157
800,0.0338,0.0128,0.0139,0.0253
,,,0.0133,
,,,0.0111,
,,,0.0113,
,,,0.0104,
,,,0.0098,
,,,0.0109,
,,,0.0099,
,,,0.0088,
,,,0.0087,
,,,0.0085,
,,,0.0075,
,,,0.0074,
,,,0.0082,
,,,0.005,
,,,0.0077,
,,,0.0066,
,,,0.0045,
,,,0.005,
,,,0.0048,
,,,0.0048,
,,,0.0042,
,,,0.004,
,,,0.0038,
,,,0.0031,
,,,0.0037,
,,,0.003,
,,,0.0028,
